sentence,aspect,sentiment
i found the narrative while having some fault with certain aspect remaining strong with some good dialogue theme and tone,tone,1
animation might be good but it wont be bad like in the last dreamworks movie,animation,1
it felt like they could have put a new spin on the concept started with inside out but just fell short with how they failed to fully give explanation a to why there needed most of the time,concept,0
the concept of the movie had something and perhaps this could be reworked into a successful 5 minute short but a a feature length film it fall apart,concept,0
while i do feel that this aspect of the film wa rushed i have to acknowledge that the idea wa fresh and quite frankly genius,idea,1
despite having some of the worst writing ever committed to cinema there actually are some quirky and amusing characteristic,characteristic,1
my most favorite voice performer is ike barinholts a light his voice is wonderful and fun a the character he play,character,1
my most favorite voice performer is ike barinholts a light his voice is wonderful and fun a the character he play,voice performer,1
while the animation wa stunningsomething id love to see broken downi dont feel compelled to rewatch the entire film,animation,1
adding this stuff to movie indicates to me the writer are immature and dont have kid themselves,writer,0
i can see how maybe it wa made a a comfort movie for young adult or older teen or for very young audience who dont have a grasp on these concept anyways but even then a i will explain in the next paragraph doe not seem to be the case,concept,0
i do appreciate the writing where it creates interesting theme and idea together which worked pretty well,theme,1
i do appreciate the writing where it creates interesting theme and idea together which worked pretty well,idea,1
it not a laugh a minute comedy i had a grin or 2 but no deep belly laugh and it doe not matter at all it still a whole lot of fun,comedy,0
the story jumped all over the place and didnt really make sense,story,0
with a cast led by jacob tremblay in the voice of orion and paul walter hauser giving life to dark orion and the dark result in a childrens film that fulfills it mission of leaving a lesson perhaps even therapeutic,cast,1
with a cast led by jacob tremblay in the voice of orion and paul walter hauser giving life to dark orion and the dark result in a childrens film that fulfills it mission of leaving a lesson perhaps even therapeutic,lesson,1
dark and the other entity are pretty interesting character they represent nighttime occurrence such a the dark falling asleep anxiety nighttime noise and silence and dream,character,1
but i wont be surprised if dreamworks had done studio interfere with his script,script,0
the night incident could have a good animation and the people did have something weird but the scenario animation is good the setting and it is on the right track for future project,animation,1
the night incident could have a good animation and the people did have something weird but the scenario animation is good the setting and it is on the right track for future project,animation,1
it almost like he took one of his amazing adult idea and wrote it for kid,idea,1
this enchanting tale follows orion a fearless young protagonist a he confronts the mysterious realm of darkness with aweinspiring visuals and an emotionally charged narrative,tale,1
this enchanting tale follows orion a fearless young protagonist a he confronts the mysterious realm of darkness with aweinspiring visuals and an emotionally charged narrative,protagonist,1
this enchanting tale follows orion a fearless young protagonist a he confronts the mysterious realm of darkness with aweinspiring visuals and an emotionally charged narrative,visuals,1
in my opinion this cartoon should be watched because it represents a true masterpiece of cinematography for child which aim to teach how to face the fear of the dark in a nice and very profound way,cinematography,1
im not sure a lot of folk enjoyed some of the sudden revelation here but given it play out like a bedtime fable with plenty of mystical element i wa able to enjoy the creative freedom taken by the maker,fable,1
if the animation is nothing special the script is better than what drive most animated movie aimed at a young audience,animation,0
if the animation is nothing special the script is better than what drive most animated movie aimed at a young audience,script,1
i dont get the daughter being thrown in the story that wa random and not needed nor did i like the fact it wa all a story being made up,story,0
i dont get the daughter being thrown in the story that wa random and not needed nor did i like the fact it wa all a story being made up,story,0
the concept the animation and some of the wise word used in the movie make it a great watch for adult too,concept,1
the concept the animation and some of the wise word used in the movie make it a great watch for adult too,animation,1
dreamworks ha long been experimenting more and more bringing more different story and unusual animation,story,0
dreamworks ha long been experimenting more and more bringing more different story and unusual animation,animation,0
it doesnt take long until we discover that this story is the one that an adult orion is telling to his daughter hypatia who is also afraid of the dark and when orion is running out of idea it is hypatia who help him continue telling the story,story,0
it then cut away to an adult version of the main character relaying the story to his child without context,character,0
just a sequence of weird scene that are not interesting in any way,scene,0
the other issue that i have with the dark character,character,0
therefore the story of the boy ha no real stake because it doesnt matter how it end it just a story the world becomes so light that becomes unbearably hot and thing die or suffer,story,0
therefore the story of the boy ha no real stake because it doesnt matter how it end it just a story the world becomes so light that becomes unbearably hot and thing die or suffer,story,0
though some critic noted that the slapstick comedy and pacing might not suit everyone the film stand out a a visually compelling familyfriendly exploration of facing fear,comedy,0
though some critic noted that the slapstick comedy and pacing might not suit everyone the film stand out a a visually compelling familyfriendly exploration of facing fear,pacing,0
plus the animation and direction arent up to the same level of ambition a kaufman script leaving the film to feel quite cheap,animation,0
plus the animation and direction arent up to the same level of ambition a kaufman script leaving the film to feel quite cheap,direction,0
plus the animation and direction arent up to the same level of ambition a kaufman script leaving the film to feel quite cheap,script,0
while the movie incorporates lot of adult humour it plot is all over the place,humour,1
while the movie incorporates lot of adult humour it plot is all over the place,plot,0
in pus in boot 2 for example im using it because is the last good movie dreamworks ha done you could see where the plot wa going but the character and joke made is really enjoyable,plot,0
in pus in boot 2 for example im using it because is the last good movie dreamworks ha done you could see where the plot wa going but the character and joke made is really enjoyable,character,1
in pus in boot 2 for example im using it because is the last good movie dreamworks ha done you could see where the plot wa going but the character and joke made is really enjoyable,joke,1
the villain is a voice you will recognize,villain,1
lacking the freshness of the first film and the emotional depth of the second kung fu panda 4 doe play it safe by taking a riskfree route to tell it story but still manages to deliver a fun amusing lighthearted delight,freshness,0
lacking the freshness of the first film and the emotional depth of the second kung fu panda 4 doe play it safe by taking a riskfree route to tell it story but still manages to deliver a fun amusing lighthearted delight,emotional depth,0
lacking the freshness of the first film and the emotional depth of the second kung fu panda 4 doe play it safe by taking a riskfree route to tell it story but still manages to deliver a fun amusing lighthearted delight,story,1
and from most of the scene it have too many jump cut too many unnecessary shot made me feel it is so fast and hard to enjoy,scene,0
the kung fu panda series shouldnt have been just about doing skadoosh there should have been a deeper story a a viewer i wa hoping to see something new there wa very little in the movie that i focused on in the last scene tai lung finally realizes that po wasnt the wrong choice and go back to the spirit realm but for such a character there shouldnt have been such an ending it wa very empty,story,0
the kung fu panda series shouldnt have been just about doing skadoosh there should have been a deeper story a a viewer i wa hoping to see something new there wa very little in the movie that i focused on in the last scene tai lung finally realizes that po wasnt the wrong choice and go back to the spirit realm but for such a character there shouldnt have been such an ending it wa very empty,character,0
the kung fu panda series shouldnt have been just about doing skadoosh there should have been a deeper story a a viewer i wa hoping to see something new there wa very little in the movie that i focused on in the last scene tai lung finally realizes that po wasnt the wrong choice and go back to the spirit realm but for such a character there shouldnt have been such an ending it wa very empty,ending,0
with those weak and bad point i dont think this movie is really worth to watch you can pretend that the story ended in third one,story,0
guy look i know what you feel this movie ha a such of problem respect to the kung fu panda franchise but a a franchise movie i consider that is decent the joke about who is the dragon warrior is very bad and that shifu insist that po should leave the charge because it is supposed that po should decide his own when he going to be retired and that detail of dont put the furious 5 but know let say the positive thing because that bad thing doesnt annoy me it have an excellent final battle zhen actually wa kind of cool for me the movie ha some essence of franchise and have a great message good character development the villain for me is not bad but it could be better and if i have so many bad thing to say why i put a 9 because kung fu panda 4 is an entertaining movie that ha an epic final battle good soundtrack and some event that are great like how po father interact zhen counsins actually wher good for me there are many joke that are very good like the skadoosh that wa gold for me and yeah i like tai lung comeback and lord shen and kai i wa hoping something better im concious of kung fu panda 4 problem but if you give the film another oportunity you will see that this movie is actually great and very good and the profundization is great the bad thing dont annoy me because in the history i can say that fluid a his style and i will dont be rude for that is for that why im giving this film an 8,joke,0
guy look i know what you feel this movie ha a such of problem respect to the kung fu panda franchise but a a franchise movie i consider that is decent the joke about who is the dragon warrior is very bad and that shifu insist that po should leave the charge because it is supposed that po should decide his own when he going to be retired and that detail of dont put the furious 5 but know let say the positive thing because that bad thing doesnt annoy me it have an excellent final battle zhen actually wa kind of cool for me the movie ha some essence of franchise and have a great message good character development the villain for me is not bad but it could be better and if i have so many bad thing to say why i put a 9 because kung fu panda 4 is an entertaining movie that ha an epic final battle good soundtrack and some event that are great like how po father interact zhen counsins actually wher good for me there are many joke that are very good like the skadoosh that wa gold for me and yeah i like tai lung comeback and lord shen and kai i wa hoping something better im concious of kung fu panda 4 problem but if you give the film another oportunity you will see that this movie is actually great and very good and the profundization is great the bad thing dont annoy me because in the history i can say that fluid a his style and i will dont be rude for that is for that why im giving this film an 8,message,1
guy look i know what you feel this movie ha a such of problem respect to the kung fu panda franchise but a a franchise movie i consider that is decent the joke about who is the dragon warrior is very bad and that shifu insist that po should leave the charge because it is supposed that po should decide his own when he going to be retired and that detail of dont put the furious 5 but know let say the positive thing because that bad thing doesnt annoy me it have an excellent final battle zhen actually wa kind of cool for me the movie ha some essence of franchise and have a great message good character development the villain for me is not bad but it could be better and if i have so many bad thing to say why i put a 9 because kung fu panda 4 is an entertaining movie that ha an epic final battle good soundtrack and some event that are great like how po father interact zhen counsins actually wher good for me there are many joke that are very good like the skadoosh that wa gold for me and yeah i like tai lung comeback and lord shen and kai i wa hoping something better im concious of kung fu panda 4 problem but if you give the film another oportunity you will see that this movie is actually great and very good and the profundization is great the bad thing dont annoy me because in the history i can say that fluid a his style and i will dont be rude for that is for that why im giving this film an 8,character development,1
guy look i know what you feel this movie ha a such of problem respect to the kung fu panda franchise but a a franchise movie i consider that is decent the joke about who is the dragon warrior is very bad and that shifu insist that po should leave the charge because it is supposed that po should decide his own when he going to be retired and that detail of dont put the furious 5 but know let say the positive thing because that bad thing doesnt annoy me it have an excellent final battle zhen actually wa kind of cool for me the movie ha some essence of franchise and have a great message good character development the villain for me is not bad but it could be better and if i have so many bad thing to say why i put a 9 because kung fu panda 4 is an entertaining movie that ha an epic final battle good soundtrack and some event that are great like how po father interact zhen counsins actually wher good for me there are many joke that are very good like the skadoosh that wa gold for me and yeah i like tai lung comeback and lord shen and kai i wa hoping something better im concious of kung fu panda 4 problem but if you give the film another oportunity you will see that this movie is actually great and very good and the profundization is great the bad thing dont annoy me because in the history i can say that fluid a his style and i will dont be rude for that is for that why im giving this film an 8,villain,0
guy look i know what you feel this movie ha a such of problem respect to the kung fu panda franchise but a a franchise movie i consider that is decent the joke about who is the dragon warrior is very bad and that shifu insist that po should leave the charge because it is supposed that po should decide his own when he going to be retired and that detail of dont put the furious 5 but know let say the positive thing because that bad thing doesnt annoy me it have an excellent final battle zhen actually wa kind of cool for me the movie ha some essence of franchise and have a great message good character development the villain for me is not bad but it could be better and if i have so many bad thing to say why i put a 9 because kung fu panda 4 is an entertaining movie that ha an epic final battle good soundtrack and some event that are great like how po father interact zhen counsins actually wher good for me there are many joke that are very good like the skadoosh that wa gold for me and yeah i like tai lung comeback and lord shen and kai i wa hoping something better im concious of kung fu panda 4 problem but if you give the film another oportunity you will see that this movie is actually great and very good and the profundization is great the bad thing dont annoy me because in the history i can say that fluid a his style and i will dont be rude for that is for that why im giving this film an 8,final battle,1
guy look i know what you feel this movie ha a such of problem respect to the kung fu panda franchise but a a franchise movie i consider that is decent the joke about who is the dragon warrior is very bad and that shifu insist that po should leave the charge because it is supposed that po should decide his own when he going to be retired and that detail of dont put the furious 5 but know let say the positive thing because that bad thing doesnt annoy me it have an excellent final battle zhen actually wa kind of cool for me the movie ha some essence of franchise and have a great message good character development the villain for me is not bad but it could be better and if i have so many bad thing to say why i put a 9 because kung fu panda 4 is an entertaining movie that ha an epic final battle good soundtrack and some event that are great like how po father interact zhen counsins actually wher good for me there are many joke that are very good like the skadoosh that wa gold for me and yeah i like tai lung comeback and lord shen and kai i wa hoping something better im concious of kung fu panda 4 problem but if you give the film another oportunity you will see that this movie is actually great and very good and the profundization is great the bad thing dont annoy me because in the history i can say that fluid a his style and i will dont be rude for that is for that why im giving this film an 8,soundtrack,1
guy look i know what you feel this movie ha a such of problem respect to the kung fu panda franchise but a a franchise movie i consider that is decent the joke about who is the dragon warrior is very bad and that shifu insist that po should leave the charge because it is supposed that po should decide his own when he going to be retired and that detail of dont put the furious 5 but know let say the positive thing because that bad thing doesnt annoy me it have an excellent final battle zhen actually wa kind of cool for me the movie ha some essence of franchise and have a great message good character development the villain for me is not bad but it could be better and if i have so many bad thing to say why i put a 9 because kung fu panda 4 is an entertaining movie that ha an epic final battle good soundtrack and some event that are great like how po father interact zhen counsins actually wher good for me there are many joke that are very good like the skadoosh that wa gold for me and yeah i like tai lung comeback and lord shen and kai i wa hoping something better im concious of kung fu panda 4 problem but if you give the film another oportunity you will see that this movie is actually great and very good and the profundization is great the bad thing dont annoy me because in the history i can say that fluid a his style and i will dont be rude for that is for that why im giving this film an 8,event,1
guy look i know what you feel this movie ha a such of problem respect to the kung fu panda franchise but a a franchise movie i consider that is decent the joke about who is the dragon warrior is very bad and that shifu insist that po should leave the charge because it is supposed that po should decide his own when he going to be retired and that detail of dont put the furious 5 but know let say the positive thing because that bad thing doesnt annoy me it have an excellent final battle zhen actually wa kind of cool for me the movie ha some essence of franchise and have a great message good character development the villain for me is not bad but it could be better and if i have so many bad thing to say why i put a 9 because kung fu panda 4 is an entertaining movie that ha an epic final battle good soundtrack and some event that are great like how po father interact zhen counsins actually wher good for me there are many joke that are very good like the skadoosh that wa gold for me and yeah i like tai lung comeback and lord shen and kai i wa hoping something better im concious of kung fu panda 4 problem but if you give the film another oportunity you will see that this movie is actually great and very good and the profundization is great the bad thing dont annoy me because in the history i can say that fluid a his style and i will dont be rude for that is for that why im giving this film an 8,joke,1
though thing come together well kung fu panda 4 still feel unoriginal like everything about the story is taken from other film,story,0
additionally the antagonist amelia lack the depth and menace of previous villain which detracts from the overall impact of the movie,antagonist,0
additionally the antagonist amelia lack the depth and menace of previous villain which detracts from the overall impact of the movie,villain,0
the final battle between po and the chameleon wa good not epic po fighting not only to save the day but to redeem his former enemy a well,final battle,1
po face a new challenge to advance in the kung fu world only to hear of a villain calling him out and about to wreak havoc in the middle of it,villain,0
while the ending wa rewarding it didnt quite match the brilliance of previous film in the series,ending,1
this definitely feel like it more content to have a fun ride than have a meaningful message compared to the other film but it succeeds at the latter to a degree that it didnt bother me that much,message,0
po and jack black portrayal of him feel like his awareness and subtle maturity are almost completely reversed with him back to being very gullible uncharacteristically out of his element and too easily overpowered by minor foe,portrayal,0
not a bad movie considering other animation movie but is definitely a bad one in the legacy of kung fu panda,legacy,0
this time around the theme is around change and how difficult change can be but how actually sometimes change is necessary in order for u to become better version of ourselves,theme,1
the original trilogy wa great,original,1
the background are stunning and youll love the various scene in this wonton wonderland from dreamworks animation,background,1
the background are stunning and youll love the various scene in this wonton wonderland from dreamworks animation,scene,1
the problem i have for this film really all come back to awkwafinas character zhen,character,0
a shameless cashgrab for a beloved long running animated series,series,0
i am writing this review fully knowing that it impact will be minimal but nonetheless wish to convey my feeling about this series to whomever may listen,series,0
black is terrific of course but the joke are very lame,joke,0
kung fu panda 4 continues the beloved franchise with mixed review,franchise,1
chameleon backstory is not explained fully and it is not interesting at all,backstory,0
got to give truth and chance and empathy toonow about the animation itself the color tone the 3d is seem ok,animation,0
got to give truth and chance and empathy toonow about the animation itself the color tone the 3d is seem ok,color tone,0
the story itself wa very generic and not like the previous movie i couldnt find any interest in the sorcerer gecko,story,0
there each movie is like were bad hero here too but the movie wa usually good and had good event so,hero,0
the character are annoying and plain stupid,character,0
in the movie kung fu panda 1 2 and 3 all of the main antagonist had a backstory having to do with the main cast but for the chameleon the only thing about her backstory is that no kung fu master wanted to train or teach her kung fu just because they said she wa too small,antagonist,1
in the movie kung fu panda 1 2 and 3 all of the main antagonist had a backstory having to do with the main cast but for the chameleon the only thing about her backstory is that no kung fu master wanted to train or teach her kung fu just because they said she wa too small,backstory,1
in the movie kung fu panda 1 2 and 3 all of the main antagonist had a backstory having to do with the main cast but for the chameleon the only thing about her backstory is that no kung fu master wanted to train or teach her kung fu just because they said she wa too small,cast,0
in the movie kung fu panda 1 2 and 3 all of the main antagonist had a backstory having to do with the main cast but for the chameleon the only thing about her backstory is that no kung fu master wanted to train or teach her kung fu just because they said she wa too small,backstory,0
i loved the original series and admittedly have watched and enjoyed most of the show that have come after it but at what point will it end,original,1
i loved the original series and admittedly have watched and enjoyed most of the show that have come after it but at what point will it end,series,1
after many year kung fu panda four return with po maturing and ready for new adventure,adventure,1
one of the thing that ha always been so consistent with this franchise is strong theme and lesson that both child and adult can relate to,theme,1
one of the thing that ha always been so consistent with this franchise is strong theme and lesson that both child and adult can relate to,lesson,1
i mean i am a lil bias this is my fav movie but tbh i watched it with my family and all of them loved it but there were some negative in it spoiler at the end the she tried to combine all the kung fu master together and she looked really bad it just doesnt work plus i didnt like the fact that the 5 didnt appear until the end i mean they are a big concept of the series but over all the movie wa great good show it wa good paced it wasnt fast or slow and had some good quote with funny moment that i really enjoyed i mean one hour and a half past by faster then ever before it wa really great i am excited for the 5th and the 6th to come,paced,1
i mean i am a lil bias this is my fav movie but tbh i watched it with my family and all of them loved it but there were some negative in it spoiler at the end the she tried to combine all the kung fu master together and she looked really bad it just doesnt work plus i didnt like the fact that the 5 didnt appear until the end i mean they are a big concept of the series but over all the movie wa great good show it wa good paced it wasnt fast or slow and had some good quote with funny moment that i really enjoyed i mean one hour and a half past by faster then ever before it wa really great i am excited for the 5th and the 6th to come,moment,1
i understand their vision to bring in a new environment the big city,environment,1
in fact that is a plot point similar to kung fu panda 3,plot,0
climax is kinda good,climax,1
the villain wa just a great a the last 3 and i do like that tai lung had a sort of redemption type thing in the end despite being dead,villain,1
again another female character who already know everything she is at the same level a the dragon warrior she doesnt need any training she shown a pretty perfect character from the start,character,0
again another female character who already know everything she is at the same level a the dragon warrior she doesnt need any training she shown a pretty perfect character from the start,character,0
this is so far my most favorite of the kung fu panda franchise,franchise,1
but it didnt execute on the small thing that made this franchise great,franchise,1
the script wa one of the worst script ever and the villain wa someone without the kind of backstory that we saw in the first three movie,script,0
the script wa one of the worst script ever and the villain wa someone without the kind of backstory that we saw in the first three movie,villain,0
the script wa one of the worst script ever and the villain wa someone without the kind of backstory that we saw in the first three movie,backstory,0
the studio ha done amazing work with the production design visual effect and 3d development of this blockbuster franchise,design,1
the studio ha done amazing work with the production design visual effect and 3d development of this blockbuster franchise,visual effect,1
who grew up on the street wanting to learn kung fu but couldnt because she wa regarded a too small let me just point out some thing that prof she wa a good villain i know mantis exists but she grew up on the street in a city that didnt even know of the dragon warrior or the furious 5 so in her city of course kung fu wouldnt be taught to her,villain,1
this edition wa a steep drop from what ive grown to love from the series,edition,0
even if i didnt fully get what wa going on the bunch of 6 and 9 year old i took along were glued to the action,action,1
i also felt like the villain wa lacklustre compared to previous villain from the franchise staying one dimensional throughout the entire film,villain,0
the fight scene are great it wa good to see villians from the previous kunfu panda movie and the movie is a combination of emotion action and humor,scene,1
the fight scene are great it wa good to see villians from the previous kunfu panda movie and the movie is a combination of emotion action and humor,villians,1
the fight scene are great it wa good to see villians from the previous kunfu panda movie and the movie is a combination of emotion action and humor,humor,0
with onpoint characterization not dialogue scale presentation energy choreography camerawork and animation doing all the work all of my score,characterization,1
with onpoint characterization not dialogue scale presentation energy choreography camerawork and animation doing all the work all of my score,animation,1
pro they used a lot of humor punchy one liner to the left and comedic foil character to the right,humor,1
pro they used a lot of humor punchy one liner to the left and comedic foil character to the right,character,1
zhen wa charming and the betrayal wa actually shocking but her arc kind of lacked substance,arc,0
there were also some major plot hole like how did po escape the cage in the final fight,plot,0
the fight scene are super exciting and all the character are amazing,fight scene,1
the fight scene are super exciting and all the character are amazing,character,1
jack black did a wonderful job fulfilling his role a po and captured his character perfectly,character,1
this fresh concept promise an engaging storyline that will surely captivate audience especially younger viewer,storyline,1
tbh i also want kung fu panda 5 to also come out a a sequel with focus on po with more attention given to the next instalment i am sure it will be a very huge success,sequel,1
a less rushed ending also would have helped this movie end on the strongest foot it could with that wisdom meet humor but the entertaining credit are a blessing,ending,0
a less rushed ending also would have helped this movie end on the strongest foot it could with that wisdom meet humor but the entertaining credit are a blessing,humor,1
a less rushed ending also would have helped this movie end on the strongest foot it could with that wisdom meet humor but the entertaining credit are a blessing,credit,1
however i did like the new sidecharacter,character,1
it would appear that awkwafina is certainly making a name for herself in the world of voice acting a this is yet another project that us her unique voice to the film advantage,voice acting,1
the movie end with just a random scene and then it over,scene,0
for such a unique kind of villain i feel she wa a pretty lame and failed to live up to her potential,villain,0
alternatively her backstory could explore theme of betrayal and deception,backstory,0
alternatively her backstory could explore theme of betrayal and deception,theme,0
because of these and other plot problem i didnt enjoy the movie,plot,0
zhens character arc wa dull and predictable and the story involving mr ping li is frustratingly mediocre and take up way too much screen time,character arc,0
zhens character arc wa dull and predictable and the story involving mr ping li is frustratingly mediocre and take up way too much screen time,story,0
it feature jack black dustin hoffman james hong bryan cranston and ian mcshane reprising their role from the previous film with awkwafina ke huy quan ronny chieng lori tan chinn and viola davis joining the cast a new character,cast,0
it feature jack black dustin hoffman james hong bryan cranston and ian mcshane reprising their role from the previous film with awkwafina ke huy quan ronny chieng lori tan chinn and viola davis joining the cast a new character,character,0
the supporting cast is good,cast,1
storyline wa boring and predictable,storyline,0
thankfully the joke that work outweigh the one that dont like the bunny kid who are vicious little psycho they got the biggest laugh,joke,1
this is in no way a bad movie it just a watchable animated sequel that had a few nice moment,sequel,1
i understand it to make money but the quality in storytelling just feel lost,storytelling,0
mike mitchell new tower of kung fu panda is made from the brick of previous kung fu panda flick so it not completely different and new but like nostalgia merging with the energy of a new generation,flick,1
po character arc wa well resolved with the first three film but this fourth film is surprising in taking it forward,character arc,1
the chameleon character is not bad but she is weak compared to other villain,character,0
han zimmer music always fascinates me like he always doe even after dune part two,music,1
nevertheless the film ha very good graphic happy atmosphere humor and average plot,graphic,1
nevertheless the film ha very good graphic happy atmosphere humor and average plot,atmosphere,1
nevertheless the film ha very good graphic happy atmosphere humor and average plot,humor,1
nevertheless the film ha very good graphic happy atmosphere humor and average plot,plot,0
every action set piece leading up to the finale is caused because of zhen,action,0
i would have like it if it wa only a table with the six main character speaking in a journalist event,character,0
the battle against the villain wa very anticlimactic which ha been a strong point of these movie a a series,villain,0
no character growth whatsoever,character,0
it would have been nice to have more shifu rather than this out of character part where he say a new dragon warrior need to be chosen by po overnight after watching them do a talent exhibit when he himself had to go through major test to get there,character,0
it feel less like the character and more like cardboard cutout of the character,character,0
the animation wa inspired the voice acting impeccable the detail and micro gesture were simple incredible,animation,1
the animation wa inspired the voice acting impeccable the detail and micro gesture were simple incredible,voice acting,1
positive the action sequence i think are the best out of the whole franchise,action sequence,1
while the movie excels overall it worth noting that despite it greatness no villain quite match the vile nature of shen from kung fu panda 2 underscoring the lasting impact of past antagonist on the series,villain,0
while the movie excels overall it worth noting that despite it greatness no villain quite match the vile nature of shen from kung fu panda 2 underscoring the lasting impact of past antagonist on the series,antagonist,1
there have been several dreamworks film with a rushed plot though some of them ended up being a good film and this one ha to be one of em,plot,0
still the action scene were fun,action scene,1
other than that everything else the story in general direction soundtrack action and comedy scene production and entertainment value and cinematography were normal even less than normal,story,0
other than that everything else the story in general direction soundtrack action and comedy scene production and entertainment value and cinematography were normal even less than normal,direction,0
other than that everything else the story in general direction soundtrack action and comedy scene production and entertainment value and cinematography were normal even less than normal,soundtrack,0
other than that everything else the story in general direction soundtrack action and comedy scene production and entertainment value and cinematography were normal even less than normal,action,0
other than that everything else the story in general direction soundtrack action and comedy scene production and entertainment value and cinematography were normal even less than normal,comedy,0
so what if it feel a little cheap at time and like a side story absence of the furious five and with a bit more childish humor than usual it still doe have it great moment,story,1
for example the tone feel way off look more like a spinoff in term of animation style and occasionally the thing that happen and the way certain character act are out of place,tone,0
for example the tone feel way off look more like a spinoff in term of animation style and occasionally the thing that happen and the way certain character act are out of place,character,0
even though the ending fight wa good the story came to an end which didnt do po justice at all,ending,1
even though the ending fight wa good the story came to an end which didnt do po justice at all,story,0
the film is packed with old joke and relies on jack black humor which honestly ha never been funny to me,joke,0
the film is packed with old joke and relies on jack black humor which honestly ha never been funny to me,humor,0
yes it is a fastpaced adventure packed with action but with a story like this a lot of the problem i have could be fixed if the movie wa just a little longer,story,0
so overview story 710 decently intriguing story fine by me animation 910 polished like the last few,story,1
so overview story 710 decently intriguing story fine by me animation 910 polished like the last few,animation,1
on the spiritual lead part it wa so bad it look like they forget that wa supposed to be this arc in this movie so it only a few line in the movie,arc,0
po lack of significant character development also make kung fu panda 4 feel less meaningful,character,0
the animation in these scene are once again impressive and the overall execution of the scene is solid,animation,1
part 3 wrapped up the story nicely,story,1
she got no backstory and wa just there for grabbing money from returning tai lung and even more money for a cool fight,backstory,0
he could have played a bigger role in the story and interacted with more character particularly shifu,story,0
he could have played a bigger role in the story and interacted with more character particularly shifu,character,0
at first i wa worried but i think awkwafina done so much better for this role a zhen i also like the backstory they gave zhen,backstory,1
let talk about the positive thing about the movie the story is a massive improvement from the 3rd movie with some character development with our new secondary protagonist awkawina fox zhen,story,1
let talk about the positive thing about the movie the story is a massive improvement from the 3rd movie with some character development with our new secondary protagonist awkawina fox zhen,character,1
villain coming back only for last 10 minute of movie is a joke not even mentioning that lord shen and kai didnt get any voice line,villain,0
for being a movie about kung fu there also a lot less action and it by far the shortest entry when you take out the credit,action,0
however the emotional scene though impactful lack the depth poignancy of the emotional scene in the previous three kung fu panda movie,scene,0
however the emotional scene though impactful lack the depth poignancy of the emotional scene in the previous three kung fu panda movie,scene,0
it ha not lost anything from it comedy,comedy,1
now she start to do like a panda in the house the story wa so good it can be enjoyed by child and by adult also and there is something to learn from it,story,1
no joke here,joke,0
so long story short po team up with a fox named zhen who say that a villain named chameleon is going to guess take over the valley of peace,story,0
so long story short po team up with a fox named zhen who say that a villain named chameleon is going to guess take over the valley of peace,villain,0
unlike it predecessor which left a lasting impact on audience with their memorable character engaging storyline and heartfelt message this sequel failed to leave a lasting impression,sequel,0
it really brought down the story,story,0
the writing is clever filled with humor and emotional moment that tug at your heartstrings making you laugh and tear up in equal measure,humor,1
jack black deserved a much better and higher creative produciton platform to keep on breathing life to the po character,character,1
for me some of the humor scene were flat especially with the chameleon,humor,0
similarly the cinematography occasionally seemed scattered making it challenging to grasp the full picture of the action unfolding on screen,cinematography,0
the movie wa good but wa little too short for me i know it animation but probably it bcs there wa too many villain and probably couldnt had all the voice actor to be in this movie cause it would take loo tong too finish but i also think the po villain shouldve fight for revenge on po but again it would take too long too finish,animation,0
the movie wa good but wa little too short for me i know it animation but probably it bcs there wa too many villain and probably couldnt had all the voice actor to be in this movie cause it would take loo tong too finish but i also think the po villain shouldve fight for revenge on po but again it would take too long too finish,villain,0
the movie wa good but wa little too short for me i know it animation but probably it bcs there wa too many villain and probably couldnt had all the voice actor to be in this movie cause it would take loo tong too finish but i also think the po villain shouldve fight for revenge on po but again it would take too long too finish,villain,0
this could lead into shifus backstory how his life wa which could then lead into how tigress wa treated by shifu how she wa an orphan who wanted a parent to love her but even after being adopted by shifu never felt that love,backstory,0
took away a star cuz there wa one scene that slap you right in the face with exposition and that felt a bit lazy to me,scene,0
i found the pacing and the humor of kp4 all over the map,pacing,0
i found the pacing and the humor of kp4 all over the map,humor,0
it would have made the final scene with the chameleon a lot less odd,scene,0
but it isnt a standalone and something that really bugged me wa how out of character certain people were,character,0
the forced reference to the earlier movie felt like being spit in the face instead of having a natural evolvement,reference,0
that being said however she doesnt compare to the furious five and i did still miss their kung fu antic but i guess the budget didnt stretch far enough for the voice talent of the like of jackie chan,voice talent,0
joke miss and the story feel like a retread,joke,0
joke miss and the story feel like a retread,story,0
instead what captivates audience here is a wellcrafted hero journey,journey,1
i love that even though we are in the fourth film shifu still struggle with patience and inner peace which make him a three dimensional character to me,character,1
viola davis voice acting is really good,voice acting,1
this is where i think the movie shine and find it footing offering another poignant message that is both timely and relevant for everyone,message,1
the first two film had villain motivation front and centre this need more walking to find,villain,0
i dont want to go super deep into the cast list now but the like of hoffman cranston and mcshane are not new to this franchise at all,cast,0
if oogways stick can steal kung fu from previous villain why not do that temporarily to defeat a new villain and give the stolen kung fu back to the spirit realm lol,villain,0
po leadership journey is familiar and the chameleon villain lack the depth of past foe,villain,0
po leadership journey is familiar and the chameleon villain lack the depth of past foe,journey,0
so this film play tribute to the original by having a lot of action sequence that are all eyewatering to seeif you came just to see some kung fu action then go watch and youll most likely enjoy it,action sequence,1
