sentence,aspect,Predicted_Sentiment
the cat scene are fun but the film overall is just boring and doesnt add anything to the toy story universe,scene,negative
some good chuckle and superb animation,chuckle,positive
some good chuckle and superb animation,animation,positive
ivan is also great but not really a character,character,positive
overall it will be acceptable to most audience with the robot cat being a likely favorite character for many viewer,character,positive
and a a 40 scifi lover i also like the story character and production,story,positive
and a a 40 scifi lover i also like the story character and production,character,positive
and a a 40 scifi lover i also like the story character and production,production,positive
it a story about finding love and acceptance and it sure to leave you feeling good after you watch it,story,positive
this is a cute family romantic comedy,comedy,positive
first of all the character themselves arent pretty which is actually a nice thing a you treat them all pretty equally the animation is also stunning and another great positive from the experience,character,positive
first of all the character themselves arent pretty which is actually a nice thing a you treat them all pretty equally the animation is also stunning and another great positive from the experience,animation,positive
verdict while it is far from the standard of the best pixar movie elemental champion itself with a wellmade concept an interesting cast of character beautifully hybrid animation and 101 lesson catered for both adult and child,concept,positive
verdict while it is far from the standard of the best pixar movie elemental champion itself with a wellmade concept an interesting cast of character beautifully hybrid animation and 101 lesson catered for both adult and child,character,positive
verdict while it is far from the standard of the best pixar movie elemental champion itself with a wellmade concept an interesting cast of character beautifully hybrid animation and 101 lesson catered for both adult and child,animation,positive
verdict while it is far from the standard of the best pixar movie elemental champion itself with a wellmade concept an interesting cast of character beautifully hybrid animation and 101 lesson catered for both adult and child,lesson,positive
there is no good story in elemental but cliché predictable and boring plot world building and character development,story,negative
there is no good story in elemental but cliché predictable and boring plot world building and character development,plot,negative
there is no good story in elemental but cliché predictable and boring plot world building and character development,world,negative
there is no good story in elemental but cliché predictable and boring plot world building and character development,building,negative
there is no good story in elemental but cliché predictable and boring plot world building and character development,character,negative
the find your passion theme wa a little forced and wasnt justified propely through the screenplay,theme,negative
the two lead performer are great and all of the supporting cast are spot on,cast,positive
a the character have lot of little detail,character,positive
elemental give the character realistic reason a to why they act the way they do,character,positive
the character are relatable and charming each embodying their element with unique personality trait that drive the story forward,character,positive
the character are relatable and charming each embodying their element with unique personality trait that drive the story forward,story,positive
this story give some emphasis on the mind of newer generation a well a previous one,story,positive
there were funny joke and just all in all wholesome and enjoyable,joke,positive
elemental is a wonderful story with mesmerizing animation and art,story,positive
elemental is a wonderful story with mesmerizing animation and art,animation,positive
elemental is a wonderful story with mesmerizing animation and art,art,positive
they both love nature art music and humor,art,positive
they both love nature art music and humor,music,positive
they both love nature art music and humor,humor,positive
rated 910 language english source hotstar recommendedthey used the element in quite entertaining way and weaved the interesting story,story,positive
within these fanciful surrounding the film theme of connection take center stage when fire person ember lumen leah lewis fall in love wade ripple mamoudou athie from the water community,theme,positive
i cried at that one misleading scene,scene,positive
plus the animation is what make this movie work very well with the many element in element city living together,animation,positive
it lead to the adventure part being a bit blander and superficial the excitement ebbed by very flashinthepan moment and exaggerated joke that fit well in the modern era,adventure,negative
it lead to the adventure part being a bit blander and superficial the excitement ebbed by very flashinthepan moment and exaggerated joke that fit well in the modern era,joke,negative
all the returning emotion remain faultless with amy poehler getting another satisfying arc in which she realises how draining being constantly joyful can be,arc,positive
i wish the nostalgia old lady character had more screen time maybe she will in the coming sequel,character,negative
my 2 big problem are it run time and pacing i think if it wa 1020 minute longer it would be better because the pacing is so fast and i get it a kid movie but still it a pixar movie 710 also my cousin really liked it so,pacing,negative
my 2 big problem are it run time and pacing i think if it wa 1020 minute longer it would be better because the pacing is so fast and i get it a kid movie but still it a pixar movie 710 also my cousin really liked it so,pacing,negative
liza lapira disgust tony hale fear and lewis black anger also gave good performance despite being more sidelined in the story,story,negative
overall this sequel is just good and lack in way many thing a compared to part one,sequel,negative
when i heard the main soundtrack from the first part for the first time in so many year my inner child wa simply delighted,soundtrack,positive
i like to think despite not being certain that the setting the function and everything related to the character that represent the emotion were made in the image and likeness of the real physiological process that a person go through when experiencing such emotion in particular,character,positive
in the climax of the film riley is sent to the penalty box in a hockey game,climax,negative
her relationship with sadness deepens emphasizing the film central message that all emotion are valuable and necessary,message,positive
the journey feel so familiar that i found myself predicting entire story beat before they even happened,journey,negative
the journey feel so familiar that i found myself predicting entire story beat before they even happened,story,negative
but the way the story end on both is always a moment i believe where there is a culmination of all the feeling accumulated during the story build up,story,positive
i feel like that same sense of adventure and the character growth wa missing,adventure,negative
i feel like that same sense of adventure and the character growth wa missing,character,negative
now this film isnt perfect with one of my grip being that joy go through the same character arc a the first one with her needing to learn that she cant be the singular emotion controlling the belief and emotion system but instead that all the emotion even the negative one need to control the console board when they are needed,character,positive
now this film isnt perfect with one of my grip being that joy go through the same character arc a the first one with her needing to learn that she cant be the singular emotion controlling the belief and emotion system but instead that all the emotion even the negative one need to control the console board when they are needed,arc,positive
however the movie wa worth a theater visit with only the animation style color being the 3d nature of the movie,animation,positive
the character deal with them too easily,character,negative
